customer_id,height_cm,chest_cm,waist_cm,hip_cm,category,size_label
synth_m_055,170.9,96.7,85.3,93.1,tshirt,S
synth_m_056,167.7,102.2,74.3,96.5,shorts,S
synth_m_057,170.4,96.0,92.7,100.2,jeans,XL
synth_m_058,175.0,90.7,79.3,91.7,polo,S
synth_m_059,174.9,105.5,102.9,107.3,polo,L
synth_m_060,172.0,95.1,94.5,98.2,jacket,S
synth_m_061,154.5,78.6,64.0,89.4,shorts,XS
synth_m_062,153.0,75.5,60.0,80.0,shorts,XS
synth_m_063,157.4,83.4,67.8,87.8,shorts,XS
synth_m_064,165.6,91.5,81.6,89.1,polo,S
synth_m_065,167.8,97.1,85.2,94.8,shorts,L
synth_m_066,172.6,92.5,75.4,92.6,tshirt,S
synth_m_067,168.6,92.6,81.8,96.4,polo,S
synth_m_068,179.8,100.3,76.5,93.8,polo,M
synth_m_069,163.9,103.4,88.5,99.3,jacket,M
synth_m_070,156.5,94.7,79.0,93.2,shorts,M
synth_m_071,169.1,102.8,91.9,101.5,tshirt,M
synth_m_072,168.9,96.2,84.7,97.4,shorts,L
synth_m_073,150.0,84.9,73.9,88.4,tshirt,XS
synth_m_074,166.2,88.1,81.7,96.3,tshirt,XS
synth_m_075,154.2,86.4,69.5,83.8,shorts,XS
synth_m_076,162.4,94.7,82.4,99.7,polo,S
synth_m_077,175.9,94.8,71.7,90.6,jacket,S
synth_m_078,165.3,86.3,65.9,82.9,jacket,XS
synth_m_079,164.3,97.2,83.6,90.7,jeans,M
synth_m_080,164.2,93.6,72.8,91.2,polo,S
synth_m_081,167.8,78.8,67.2,85.7,shorts,XS
synth_m_082,168.2,107.0,89.9,102.0,polo,L
synth_m_083,165.3,99.3,92.0,96.2,jacket,M
synth_m_084,171.6,102.8,84.7,99.0,jeans,L
synth_m_085,177.1,109.9,100.2,109.2,tshirt,L
synth_m_086,151.9,83.1,71.4,88.8,tshirt,XS
synth_m_087,181.3,106.3,90.9,105.3,jeans,L
synth_m_088,174.3,101.8,83.7,97.3,tshirt,M
synth_m_089,169.8,91.0,80.8,94.1,shorts,M
synth_m_090,171.0,98.7,83.4,91.7,tshirt,M
synth_m_091,178.0,93.5,82.9,93.7,tshirt,S
synth_m_092,172.2,94.1,76.3,97.0,shorts,M
synth_m_093,169.6,91.7,68.2,95.2,jeans,XS
synth_m_094,157.1,100.8,86.1,94.1,shorts,L
synth_m_095,176.8,89.4,83.1,92.3,jeans,M
synth_m_096,168.5,106.6,95.6,105.5,jeans,XL
synth_m_097,160.7,86.5,84.8,96.8,shorts,L
synth_m_098,172.2,100.1,84.1,97.1,polo,M
synth_m_099,167.5,91.6,75.8,88.0,polo,S
synth_m_100,169.9,98.4,82.9,94.0,jeans,M
synth_m_101,165.1,91.5,76.6,94.5,polo,S
synth_m_102,168.8,102.8,107.4,102.6,jacket,M
synth_m_103,174.9,98.5,86.5,99.4,shorts,L
synth_m_104,172.3,88.2,68.0,91.8,polo,XS
synth_m_105,164.2,92.3,86.1,91.6,tshirt,S
synth_m_106,168.2,103.4,86.1,104.0,polo,M
synth_m_107,175.3,100.9,93.5,105.3,polo,M
synth_m_108,158.2,98.4,86.3,93.9,jacket,M
synth_m_109,164.2,96.6,88.4,100.5,jacket,S
synth_m_110,170.3,97.6,80.2,99.1,jeans,M
synth_m_111,160.7,100.2,86.8,95.6,jeans,L
synth_m_112,167.2,87.6,71.3,89.4,jeans,S
synth_m_113,174.2,82.9,61.3,83.1,jeans,XS
synth_m_114,160.2,89.1,73.9,88.7,shorts,S
synth_m_115,164.3,87.9,86.5,89.8,jacket,XS
synth_m_116,168.8,101.7,89.1,107.2,jeans,L
synth_m_117,159.6,88.9,74.6,87.6,jacket,XS
synth_m_118,170.3,98.5,84.0,94.9,jeans,M
synth_m_119,157.8,88.8,70.1,96.3,shorts,XS
synth_m_120,175.7,94.0,76.4,94.5,jacket,S
synth_m_121,167.9,93.2,82.9,97.4,jeans,M
synth_m_122,174.3,103.7,86.1,99.4,jacket,M
synth_m_123,171.8,96.1,82.3,99.3,tshirt,S
synth_m_124,173.7,100.5,103.4,104.1,shorts,XXL
synth_m_125,170.3,83.9,72.4,83.5,jeans,S
synth_m_126,173.2,121.0,104.5,110.8,jacket,XXL
synth_m_127,173.7,94.0,88.4,99.0,jacket,S
synth_m_128,167.2,96.7,79.7,94.5,polo,S
synth_m_129,161.5,93.7,73.4,94.8,shorts,S
synth_m_130,165.9,105.0,90.6,99.0,polo,L
synth_m_131,160.9,90.3,68.8,85.8,tshirt,S
synth_m_132,177.1,92.1,79.2,90.7,jeans,M
synth_m_133,173.0,93.4,85.8,100.9,jeans,L
synth_m_134,178.1,91.3,89.0,98.2,polo,S
synth_m_135,168.9,106.4,97.9,104.4,jeans,XL
synth_m_136,168.6,97.0,86.1,93.6,tshirt,S
synth_m_137,169.7,91.8,73.3,91.6,jacket,S
synth_m_138,179.3,92.8,76.6,91.6,polo,S
synth_m_139,165.8,96.0,93.4,98.9,polo,S
synth_m_140,170.9,95.4,83.4,93.2,jacket,S
synth_m_141,170.2,88.7,74.4,87.9,polo,XS
synth_m_142,168.6,87.3,78.9,93.2,polo,XS
synth_m_143,163.0,93.6,83.8,89.8,jeans,M
synth_m_144,171.5,85.9,68.0,87.9,jacket,XS
synth_m_145,169.8,109.2,107.0,107.0,jacket,L
synth_m_146,178.5,86.9,75.4,89.0,jacket,XS
synth_m_147,177.4,90.0,78.2,95.0,polo,S
synth_m_148,154.2,79.6,71.7,85.5,jacket,XS
synth_m_149,175.2,98.6,88.0,92.6,tshirt,M
synth_m_150,163.2,95.3,78.2,89.1,jeans,M
synth_m_151,173.0,101.4,84.7,98.8,shorts,L
synth_m_152,177.2,102.8,96.3,106.3,shorts,XL
synth_m_153,176.3,101.4,96.7,100.5,polo,M
synth_m_154,167.5,89.0,73.5,95.3,tshirt,XS
synth_m_155,170.1,98.5,86.5,95.6,jacket,M
synth_m_156,163.7,91.1,76.9,96.6,jeans,M
synth_m_157,156.3,106.8,88.4,107.1,jeans,L
synth_m_158,159.0,96.6,89.8,97.8,jacket,S
synth_m_159,162.3,98.0,83.9,97.4,jeans,M
synth_m_160,176.0,110.5,90.7,101.4,jeans,L
synth_m_161,169.0,98.6,87.6,91.7,shorts,L
synth_m_162,165.0,99.3,79.3,91.6,jeans,M
synth_m_163,156.7,86.1,68.4,86.0,tshirt,XS
synth_m_164,171.7,104.0,88.2,97.7,shorts,L
synth_m_165,174.2,103.1,98.2,104.9,tshirt,M
synth_m_166,159.6,90.9,86.8,99.4,jacket,S
synth_m_167,155.0,100.6,89.5,99.0,tshirt,M
synth_m_168,162.7,102.0,88.7,99.7,shorts,L
synth_m_169,163.4,80.9,60.7,80.1,tshirt,XS
synth_m_170,169.1,93.3,73.4,87.2,jeans,S
synth_m_171,166.2,100.4,82.8,100.8,tshirt,M
synth_m_172,167.4,98.8,86.7,96.8,polo,M
synth_m_173,153.4,86.3,80.3,89.4,jacket,XS
synth_m_174,170.7,107.0,105.0,109.4,polo,L
synth_m_175,164.2,84.9,74.3,89.7,jacket,XS
synth_m_176,160.0,85.8,74.8,91.9,tshirt,XS
synth_m_177,172.6,96.5,81.5,97.9,jeans,M
synth_m_178,172.1,100.7,93.4,98.0,jeans,XL
synth_m_179,177.7,103.7,96.5,101.4,polo,M
synth_m_180,176.8,88.7,86.4,93.6,polo,XS
synth_m_181,179.3,101.9,85.6,101.4,jacket,M
synth_m_182,165.4,103.6,93.0,101.8,tshirt,M
synth_m_183,165.6,92.3,77.0,92.0,tshirt,S
synth_m_184,172.3,84.9,80.1,86.0,shorts,M
synth_m_185,173.3,85.3,76.0,84.8,shorts,S
synth_m_186,172.5,99.7,76.4,93.3,polo,M
synth_m_187,164.7,97.3,87.3,96.8,polo,M
synth_m_188,182.0,106.9,82.8,100.9,polo,L
synth_m_189,175.7,102.8,86.8,100.4,jacket,M
synth_m_190,167.7,89.4,68.1,88.3,jacket,S
synth_m_191,157.4,92.9,83.1,92.3,jeans,M
synth_m_192,180.7,108.5,85.4,103.3,polo,L
synth_m_193,175.3,93.5,77.1,93.4,jacket,S
synth_m_194,174.6,101.9,93.0,97.6,jacket,M
synth_m_195,167.0,100.8,78.7,95.7,tshirt,M
synth_m_196,169.9,95.0,81.8,94.2,jeans,M
synth_m_197,171.8,99.4,94.7,98.9,polo,M
synth_m_198,170.1,86.5,79.4,93.6,polo,XS
synth_m_199,171.0,91.7,70.3,87.7,shorts,XS
